1	P00519	Homo sapiens	WP2719	Fcgamma receptor (FCGR) dependent phagocytosis
2	P00519	Homo sapiens	WP2272	Pathogenic Escherichia coli infection
3	P00519	Homo sapiens	WP673	ErbB Signaling Pathway
4	P00519	Homo sapiens	WP1742	TP53 Network
5	P00519	Homo sapiens	WP2038	Regulation of Microtubule Cytoskeleton
6	P00519	Homo sapiens	WP437	EGF/EGFR Signaling Pathway
7	P00519	Homo sapiens	WP179	Cell Cycle
8	P00519	Homo sapiens	WP2446	RB in Cancer
9	P00519	Homo sapiens	WP2446	RB in Cancer
10	P00519	Homo sapiens	WP2516	ATM Signaling Pathway
11	P00519	Homo sapiens	WP707	DNA Damage Response
12	P00519	Homo sapiens	WP1530	miRNA Regulation of DNA Damage Response
13	P00519	Homo sapiens	WP2446	RB in Cancer
14	P00734	Homo sapiens	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
15	P00734	Homo sapiens	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
16	P00734	Homo sapiens	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
17	P00734	Homo sapiens	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
18	P00734	Homo sapiens	WP2799	Regulation of Insulin-like Growth Factor (IGF) Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
19	P00734	Homo sapiens	WP2799	Regulation of Insulin-like Growth Factor (IGF) Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
20	P00734	Homo sapiens	WP2762	PTM: gamma carboxylation, hypusine formation and arylsulfatase activation
21	P00734	Homo sapiens	WP2762	PTM: gamma carboxylation, hypusine formation and arylsulfatase activation
22	P00734	Homo sapiens	WP2762	PTM: gamma carboxylation, hypusine formation and arylsulfatase activation
23	P00734	Homo sapiens	WP2762	PTM: gamma carboxylation, hypusine formation and arylsulfatase activation
24	P00734	Homo sapiens	WP2762	PTM: gamma carboxylation, hypusine formation and arylsulfatase activation
25	P00734	Homo sapiens	WP15	Selenium Micronutrient Network
26	P00734	Homo sapiens	WP15	Selenium Micronutrient Network
27	P00734	Homo sapiens	WP558	Complement and Coagulation Cascades
28	P00734	Homo sapiens	WP1533	Vitamin B12 Metabolism
29	P00734	Homo sapiens	WP1533	Vitamin B12 Metabolism
30	P00734	Homo sapiens	WP272	Blood Clotting Cascade
31	P00734	Homo sapiens	WP272	Blood Clotting Cascade
